year,quarter,name,rssdid,Lender_Name,Lender_Id
2019,1,BANK OF HANCOCK COUNTY,37,,
2019,2,BANK OF HANCOCK COUNTY,37,,
2019,3,BANK OF HANCOCK COUNTY,37,,
2019,4,BANK OF HANCOCK COUNTY,37,,
2019,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2019,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2019,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2019,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2019,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2019,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2019,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2019,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2019,1,BISON STATE BANK,354,,
2019,2,BISON STATE BANK,354,,
2019,3,BISON STATE BANK,354,,
2019,4,BISON STATE BANK,354,,
2019,1,LOWRY STATE BANK,457,,
2019,2,LOWRY STATE BANK,457,,
2019,3,LOWRY STATE BANK,457,,
2019,4,LOWRY STATE BANK,457,,
2019,1,BALLSTON SPA NATIONAL BANK,505,,
2019,2,BALLSTON SPA NATIONAL BANK,505,,
2019,3,BALLSTON SPA NATIONAL BANK,505,,
2019,4,BALLSTON SPA NATIONAL BANK,505,,
2019,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2019,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2019,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2019,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2019,1,BANK OF GRANDIN,1351,,
2019,2,BANK OF GRANDIN,1351,,
2019,3,BANK OF GRANDIN,1351,,
2019,4,BANK OF GRANDIN,1351,,
2019,1,HILLTOP NATIONAL BANK,1454,,
2019,2,HILLTOP NATIONAL BANK,1454,,
2019,3,HILLTOP NATIONAL BANK,1454,,
2019,4,HILLTOP NATIONAL BANK,1454,,
2019,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2019,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2019,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2019,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2019,1,WASHITA STATE BANK,1856,,
2019,2,WASHITA STATE BANK,1856,,
2019,3,WASHITA STATE BANK,1856,,
2019,4,WASHITA STATE BANK,1856,,
2019,1,FARMERS & MERCHANTS BANK,2040,,
2019,2,FARMERS & MERCHANTS BANK,2040,,
2019,1,LAMAR NATIONAL BANK,2161,,
2019,2,LAMAR NATIONAL BANK,2161,,
2019,3,LAMAR NATIONAL BANK,2161,,
2019,4,LAMAR NATIONAL BANK,2161,,
2019,1,ORITANI BANK,2376,,
2019,2,ORITANI BANK,2376,,
2019,3,ORITANI BANK,2376,,
2019,1,STATE BANK OF MARIETTA,2554,,
2019,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2019,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2019,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2019,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2019,1,GENOA COMMUNITY BANK,2750,,
2019,2,GENOA COMMUNITY BANK,2750,,
2019,3,GENOA COMMUNITY BANK,2750,,
2019,4,GENOA COMMUNITY BANK,2750,,
2019,1,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2019,2,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2019,3,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2019,4,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2019,1,FARMERS BANK OF GREEN CITY,3458,,
2019,2,FARMERS BANK OF GREEN CITY,3458,,
2019,3,FARMERS BANK OF GREEN CITY,3458,,
2019,4,FARMERS BANK OF GREEN CITY,3458,,
2019,1,"BANK OF CLARENDON, THE",3720,,
2019,2,"BANK OF CLARENDON, THE",3720,,
2019,3,"BANK OF CLARENDON, THE",3720,,
2019,4,"BANK OF CLARENDON, THE",3720,,
2019,1,MIDCOUNTRY BANK,3971,,
2019,2,MIDCOUNTRY BANK,3971,,
2019,3,MIDCOUNTRY BANK,3971,,
2019,4,MIDCOUNTRY BANK,3971,,
2019,1,KANZA BANK,4156,,
2019,2,KANZA BANK,4156,,
2019,3,KANZA BANK,4156,,
2019,4,KANZA BANK,4156,,
2019,1,FARMERS AND MERCHANTS BANK,4231,,
2019,2,FARMERS AND MERCHANTS BANK,4231,,
2019,3,FARMERS AND MERCHANTS BANK,4231,,
2019,4,FARMERS AND MERCHANTS BANK,4231,,
2019,1,FIRST CREDIT BANK,5069,,
2019,2,FIRST CREDIT BANK,5069,,
2019,3,FIRST CREDIT BANK,5069,,
2019,4,FIRST CREDIT BANK,5069,,
2019,1,FIRST STATE BANK OF BLAKELY,5135,,
2019,2,FIRST STATE BANK OF BLAKELY,5135,,
2019,3,FIRST STATE BANK OF BLAKELY,5135,,
2019,4,FIRST STATE BANK OF BLAKELY,5135,,
2019,1,ACNB BANK,5210,,
2019,2,ACNB BANK,5210,,
2019,3,ACNB BANK,5210,,
2019,4,ACNB BANK,5210,,
2019,1,BAC COMMUNITY BANK,5461,,
2019,2,BAC COMMUNITY BANK,5461,,
2019,3,BAC COMMUNITY BANK,5461,,
2019,4,BAC COMMUNITY BANK,5461,,
2019,1,KEARNY COUNTY BANK,5751,,
2019,2,KEARNY COUNTY BANK,5751,,
2019,3,KEARNY COUNTY BANK,5751,,
2019,4,KEARNY COUNTY BANK,5751,,
2019,1,PINELAND BANK,6039,,
2019,2,PINELAND BANK,6039,,
2019,3,PINELAND BANK,6039,,
2019,4,PINELAND BANK,6039,,
2019,1,ANDERSON BROTHERS BANK,6329,,
2019,2,ANDERSON BROTHERS BANK,6329,,
2019,3,ANDERSON BROTHERS BANK,6329,,
2019,4,ANDERSON BROTHERS BANK,6329,,
2019,1,BESSEMER TRUST COMPANY,7009,,
2019,2,BESSEMER TRUST COMPANY,7009,,
2019,3,BESSEMER TRUST COMPANY,7009,,
2019,4,BESSEMER TRUST COMPANY,7009,,
2019,1,"PEOPLES BANK, THE",7045,,
2019,2,"PEOPLES BANK, THE",7045,,
2019,3,"PEOPLES BANK, THE",7045,,
2019,4,"PEOPLES BANK, THE",7045,,
2019,1,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,7072,,
2019,2,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,7072,,
2019,3,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,7072,,
2019,4,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,7072,,
2019,1,BANK OF HARTINGTON,7456,,
2019,2,BANK OF HARTINGTON,7456,,
2019,3,BANK OF HARTINGTON,7456,,
2019,4,BANK OF HARTINGTON,7456,,
2019,1,"FOUR COUNTY BANK, THE",7634,,
2019,2,"FOUR COUNTY BANK, THE",7634,,
2019,3,"FOUR COUNTY BANK, THE",7634,,
2019,4,"FOUR COUNTY BANK, THE",7634,,
2019,1,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2019,2,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2019,3,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2019,4,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2019,1,"PERRYTON NATIONAL BANK, THE",8462,,
2019,2,"PERRYTON NATIONAL BANK, THE",8462,,
2019,3,"PERRYTON NATIONAL BANK, THE",8462,,
2019,4,"PERRYTON NATIONAL BANK, THE",8462,,
2019,1,"PLEASANTS COUNTY BANK, THE",8631,,
2019,2,"PLEASANTS COUNTY BANK, THE",8631,,
2019,3,"PLEASANTS COUNTY BANK, THE",8631,,
2019,4,"PLEASANTS COUNTY BANK, THE",8631,,
2019,1,FIDELITY BANK,9357,,
2019,2,FIDELITY BANK,9357,,
2019,3,FIDELITY BANK,9357,,
2019,4,FIDELITY BANK,9357,,
2019,1,ADAMS COUNTY BANK,9553,,
2019,2,ADAMS COUNTY BANK,9553,,
2019,3,ADAMS COUNTY BANK,9553,,
2019,4,ADAMS COUNTY BANK,9553,,
2019,1,AMBOY BANK,9807,,
2019,2,AMBOY BANK,9807,,
2019,3,AMBOY BANK,9807,,
2019,4,AMBOY BANK,9807,,
2019,1,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",9955,,
